"","segment_area_id","start_time","flow_type","volume","segment_name","state","city","functional_classification","descriptions","facility_types","lat","long","year","month"
"1",37,2019-01-01,"bike",18,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Jan"
"2",37,2019-02-01,"bike",19,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Feb"
"3",37,2019-03-01,"bike",26,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Mar"
"4",37,2019-04-01,"bike",40,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Apr"
"5",37,2019-05-01,"bike",45,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"May"
"6",37,2019-06-01,"bike",48,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Jun"
"7",37,2019-07-01,"bike",45,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Jul"
"8",37,2019-08-01,"bike",43,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Aug"
"9",37,2019-09-01,"bike",49,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Sep"
"10",37,2019-10-01,"bike",35,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Oct"
"11",37,2019-11-01,"bike",22,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Nov"
"12",37,2019-12-01,"bike",14,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2019,"Dec"
"13",37,2020-01-01,"bike",19,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"Jan"
"14",37,2020-02-01,"bike",34,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"Feb"
"15",37,2020-03-01,"bike",75,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"Mar"
"16",37,2020-04-01,"bike",142,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"Apr"
"17",37,2020-05-01,"bike",172,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"May"
"18",37,2020-06-01,"bike",147,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"Jun"
"19",37,2020-07-01,"bike",114,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"Jul"
"20",37,2020-08-01,"bike",111,"Military Rd (26th Place)","VA","Arlington","Minor Arterial","Northbound bicyclists on bike lane on East side of Military Rd in the 2500 block, near 26th Place N; Southbound bicyclists on bike lane on West side of Military Rd in the 2500 block, near 26th Place N","bike lane","38.90556","-77.10936",2020,"Aug"
